figure_id,paper_id,figure_label,image_path,remote_image_url,description,enabled
cenci25-nursery,2508.14897,Figure 1 — DCBH nursery sequence,,https://arxiv.org/html/2508.14897v1/DCBH_nursery_cartoon.png,"A sequence connecting gas compaction, direct-collapse black-hole formation and an LRD-like growth phase.",1
pang26-clumpy,2602.12548,Figure 6 — clumpy dense envelope + BLR,,https://arxiv.org/html/2602.12548v2/model_figure_v2.png,"A compact nucleus with a broad-line region embedded in a clumpy, dense surrounding medium, tying line diagnostics to geometry.",1
begelman25-late-quasistar,2507.09085,Figure 1 — supermassive star → quasi-star → LRD → quasar,,https://arxiv.org/html/2507.09085v2/lrd_diagram_v3.png,"An evolutionary cartoon connecting a supermassive star to early and late quasi-star phases, an LRD stage and eventually a quasar.",1
kuze26-neutrino,2601.11203,Figure 2 — buried jets in a dense envelope,,https://arxiv.org/html/2601.11203v2/Schematic_image.png,A buried high-energy source in a dense envelope: gamma rays are attenuated while neutrinos can escape.,1
chang25-geometry,2508.08768,Figure 1 — scattering geometry,,https://arxiv.org/html/2508.08768v2/figures_schematic/Geometry.png,"The basic source/scatterer geometry used to study how resonance, Raman and Thomson scattering reshape hydrogen lines.",1
chang25-raman,2508.08768,Figure 3 — Raman-scattering level diagram,,https://arxiv.org/html/2508.08768v2/figures_Raman/Raman_scattering.png,An atomic-level schematic showing the Raman-scattering pathway relevant to converting incident photons into broad optical hydrogen features.,1
chang25-thomson,2508.08768,Figure 16 — Thomson-scattering scenarios,,https://arxiv.org/html/2508.08768v2/figures_schematic/Thomson_BH_mass.png,A schematic of how electron/Thomson scattering can broaden line profiles and alter inferences such as virial black-hole masses.,1
herrero25-synthetic,2511.10725,Figure 3 — schematic SED / AGN components,,https://arxiv.org/html/2511.10725v1/figs/cartoon_v2.png,A schematic decomposition of the components and obscuration that can combine to produce LRD-like colors in a synthetic galaxy/AGN population.,1
zhou26-ss433a,2606.21105,Figure 1 — supermassive SS 433 analog,,https://arxiv.org/html/2606.21105v1/fig1-model.png,"A super-Eddington central-engine geometry inspired by SS 433, scaled to the supermassive regime proposed for LRDs.",1
zhou26-ss433b,2606.21105,Figure 8 — radius / emitting-region schematic,,https://arxiv.org/html/2606.21105v1/fig-rlimit.png,"A second schematic in the same SS 433–analogy framework, emphasizing characteristic radii and constraints on the emitting/reprocessing region.",1
cenci26-uv,2606.00205,Figure 1 — evolving DCBH / stellar SED sequence,,https://arxiv.org/html/2606.00205v1/evolving_LRD_SEDs.png,An evolutionary sequence linking the UV diversity of LRDs to the age of a direct-collapse black hole and its surrounding stellar population.,1
wang25-embryos,2511.09278,Figure 1 — embedded BH population / nuclear-disk schematic,,https://arxiv.org/html/2511.09278v1/LRD_model.png,"A nuclear configuration featuring a central massive black hole, embedded stellar-mass black holes and surrounding clumpy material as an AGN-embryo picture.",1
sok26-geometry,2606.23778,Figure 5 — dense gas with low-density escape channels,,https://arxiv.org/html/2606.23778v1/fig_schematic_4.png,"Dense, high-column gas coexists with lower-density channels, producing anisotropic escape of hard ionizing radiation and distinctive narrow-line diagnostics.",1
matthee23-evolution,2306.05448,Figure 20 — galaxy/AGN evolutionary sketch,,https://arxiv.org/html/2306.05448v3/figs/sketch_v2.png,An early LRD-era evolutionary sketch from star-formation-dominated systems through an AGN transition toward a dusty AGN-dominated phase.,1
degraaff25-bhstars,2511.21820,Figure 12 — source → ionized gas → thick envelope → host,assets/figures/degraaff2025_bhstar_fig12.png,https://arxiv.org/html/2511.21820v2/figures/schematic.png,"A layered black-hole-star picture separating the central source, dense ionized line-emitting gas, an optically thick envelope, and the host galaxy, with the schematic connecting these regions to the broad Balmer lines, red optical continuum, and narrow-line emission.",1
davis26-oceans,2606.00258,Figure 11 — alternative Balmer-absorber locations,,https://arxiv.org/html/2606.00258v1/cartoon.png,A geometry cartoon comparing where Balmer-absorbing gas can sit relative to continuum and line-emitting regions for different LRDs.,1
baggen24-density,2408.07745,Figure 7 — compact density/radius evolutionary pathway,,https://arxiv.org/html/2408.07745v2/cartoon_densities.png,A compact-galaxy density/radius pathway illustrating how extreme stellar densities could potentially produce broad lines without requiring an AGN.,1
zhong26-bbqsor,2603.13736,Figure 5 — LRD ↔ BBQSORS evolutionary pathways,,https://arxiv.org/html/2603.13736v2/bbqsors_evo.png,Two proposed evolutionary routes linking LRDs to a blackbody-quasar/radio-source phase with an approximately 10^4 K spectrum.,1
madau26-unification,2602.22386,Figure 2 — 3D super-Eddington unification geometry,,https://arxiv.org/html/2602.22386v3/disk%2BBLR.png,"A 3D super-Eddington geometry with a thick inner flow, broad-line clouds and a dusty circumnuclear obscurer, emphasizing orientation-dependent appearances.",1
inayoshi25-binary-bh,2505.05322,Figure 1 - binary BH + circumbinary disk,assets/figures/inayoshi2025_binary_bh_fig1.png,,"A binary massive-black-hole system in which hot mini-disks supply the UV emission while a cooler circumbinary disk produces the red optical continuum, naturally generating the characteristic V-shaped LRD SED.",1
inayoshi25-seed-starburst,2509.19422,Figure 1 - seed BH envelope + nuclear starburst,assets/figures/inayoshi2025_seed_bh_starburst_fig1.png,,"A rapidly accreting seed BH is embedded in a bloated ~5000 K envelope that provides the red optical light, while a compact young stellar cluster supplies the UV continuum and illuminates line-emitting gas.",1
chen26-abcd,2606.04711,Figure 8 - clumpy gaseous torus,assets/figures/chen2026_abcd_fig8.png,,"The clumpy gaseous-torus picture: dense optically thick gas is strongest near the disk plane, while the UV continuum and broad-line radiation preferentially escape along lower-density polar sightlines containing broad-line clouds, absorbers, and more distant narrow-line clouds.",1
naidu26-mom-bhstar,naidu26-mom,Figure 3 - gas-enshrouded BH / BH* model,assets/figures/naidu2026_mom_bhstar_fig3.png,,"A dense-gas black-hole-star model for MoM-BH*-1: emission from the disk and BLR is reprocessed, absorbed, and scattered by an extremely dense ~40 AU gas atmosphere, with the model compared directly to the observed spectrum.",1
